,WER,ACCURACY,ERRORS,#words,FILENAME
0,23.84,76.16,262.0,1081,18 Oct 2018 at 09_51_27 Anna metsaaranta noisy telefon.txt
1,28.571,71.429,314.0,1117,18 Oct 2018 at 10_17_06 noora quiet room telefon.txt
2,46.406,53.594,510.0,899,18 Oct 2018 at 13.00.04_Mikko.txt
3,50.409,49.591,554.0,820,18 Oct 2018 at 13.16.32_Mikael.txt
4,60.055,39.945,660.0,679,18 Oct 2018 at 13.34.21_Sabina 2.txt
5,79.527,20.473,874.0,401,18 Oct 2018 at 14.12.14_Satu 2.txt
6,61.146,38.854,672.0,646,18 Oct 2018 at 14.26.36_Panu 2.txt
7,45.314,54.686,498.0,901,18 Oct 2018 at 14.39.17_Salla 2.txt
8,79.436,20.563999999999993,873.0,411,18 Oct 2018 at 15.31.44_Magnus 2.txt
9,31.483,68.517,346.0,1033,19 Oct 2018 at 15.35.43 2.txt
10,96.542,3.4579999999999984,1061.0,336,19 Oct 2018 at 15.47.48 2.txt
11,32.484,67.51599999999999,357.0,1058,AnjalaQJabra 2.txt
12,28.571,71.429,314.0,1091,AnjalaQMic 2.txt
13,44.768,55.232,492.0,750,Anna Metsæranta Noisy finnish 2.txt
14,25.296,74.70400000000001,278.0,1071,Annika Laakkonen quiet room computer 2.txt
15,31.483,68.517,346.0,1016,IdaPCMic 2.txt
16,38.854,61.146,427.0,1012,Magnus 2.txt
17,43.403,56.597,477.0,1010,MagnusKondratjeff 2.txt
18,40.309,59.691,443.0,994,MagnusQJabra 2.txt
19,32.484,67.51599999999999,357.0,1059,MikaelMäättä.txt
20,36.306,63.694,399.0,1025,MikkoQJabra.txt
21,30.937,69.063,340.0,1090,MikkoQMic.txt
22,34.304,65.696,377.0,1070,MikkoRanta.txt
23,27.662,72.338,304.0,1077,My recording 39.txt
24,31.301,68.699,344.0,1079,My recording 41.txt
25,27.662,72.338,304.0,1067,My recording 43.txt
26,32.029,67.971,352.0,1039,My recording 47.txt
27,27.48,72.52,302.0,1096,My recording 49.txt
28,69.154,30.846000000000004,760.0,437,My recording 51.txt
29,41.401,58.599,455.0,1007,My recording 53.txt
30,29.117,70.883,320.0,1067,My recording 55.txt
31,33.121,66.87899999999999,364.0,1039,My recording 79.txt
32,28.935,71.065,318.0,1101,Noora quiet room dator.txt
33,29.572,70.428,325.0,1106,Noora quiet room.txt
34,31.21,68.78999999999999,343.0,1070,PanuParri.txt
35,31.301,68.699,344.0,1032,PanuQJabra.txt
36,26.752,73.248,294.0,1079,PanuQMic.txt
37,25.933,74.06700000000001,285.0,1095,SabinaMurtonen.txt
38,32.484,67.51599999999999,357.0,1016,SabinaQJabra.txt
39,25.023,74.977,275.0,1097,SabinaQMic.txt
40,31.028,68.97200000000001,341.0,1075,SallaQJabra.txt
41,25.842,74.158,284.0,1115,SallaQMic.txt
42,28.207,71.793,310.0,1121,SallaRipatti.txt
43,42.038,57.962,462.0,934,SandraQJabra.txt
44,33.212,66.788,365.0,1037,SandraQMic.txt
45,28.298,71.702,311.0,1105,Satu Anjala.txt
46,29.299,70.701,322.0,1058,VilleQJabra.txt
47,28.116,71.884,309.0,1090,VilleQMic.txt
48,27.116,72.884,298.0,1066,VilleSQJabra.txt
49,21.201,78.799,233.0,1109,VilleSQMic.txt
