,WER,ACCURACY,ERRORS,#words,FILENAME
0,46.47,53.53,599.0,1224,Andreas kiar DK noisy dator.txt
1,45.229,54.771,583.0,1253,AndreasQMic.txt
2,33.204,66.79599999999999,428.0,1236,AshtiQJabra.txt
3,28.239,71.761,364.0,1298,AshtiQMic.txt
4,28.006,71.994,361.0,1310,BrianQJabra.txt
5,27.773,72.227,358.0,1316,BrianQMic.txt
6,39.566,60.434,510.0,1255,ClausNJabra.txt
7,35.376,64.624,456.0,1286,ClausNMic.txt
8,37.238,62.762,480.0,1260,ClausQJabra.txt
9,34.833,65.167,449.0,1316,ClausQMic.txt
10,23.894,76.106,308.0,1291,EsbenQMic.txt
11,25.912,74.088,334.0,1291,EspenQJabra.txt
12,36.618,63.382,472.0,1302,FrankSilentMic.txt
13,49.185,50.815,634.0,1233,HenrikNoiseMic.txt
14,45.927,54.073,592.0,1221,HenrikQJabra.txt
15,44.841,55.159,578.0,1255,HenrikQMic.txt
16,35.997,64.003,464.0,1291,JesperNoiseMic.txt
17,31.808,68.19200000000001,410.0,1335,JesperQJabra.txt
18,29.325,70.675,378.0,1363,JesperQMic.txt
19,62.684,37.316,808.0,835,LindaNJabra.txt
20,30.334,69.666,391.0,1295,LindaNMic.txt
21,45.694,54.306,589.0,1127,LindaQJabra.txt
22,36.773,63.227,474.0,1243,LindaQMic.txt
23,41.971,58.029,541.0,1179,MortenNoiseMic.txt
24,47.556,52.444,613.0,1104,MortenQJabra.txt
25,42.126,57.874,543.0,1179,MortenQMic.txt
26,40.652,59.348,524.0,1267,PelleNoiseMic.txt
27,41.35,58.65,533.0,1274,PelleQJabra.txt
28,37.859,62.141,488.0,1312,PelleQMic.txt
29,33.825,66.175,436.0,1271,RikkeNoiseMic.txt
30,46.858,53.142,604.0,1110,RikkeQJabra.txt
31,37.859,62.141,488.0,1241,RikkeQMic.txt
