,WER,ACCURACY,ERRORS,#words,FILENAME
0,87.969,12.031000000000006,1148.0,774,Andreas kiar DK noisy dator.txt
1,28.429,71.571,371.0,1231,AndreasQJabra.txt
2,26.667,73.333,348.0,1245,AndreasQMic.txt
3,26.054,73.946,340.0,1247,Anna noisy dator.txt
4,38.161,61.839,498.0,1169,AnnaQJabra.txt
5,31.418,68.582,410.0,1204,AnnaQMic.txt
6,22.989,77.011,300.0,1256,Anne sofie noisy dator.txt
7,20.383,79.617,266.0,1294,AnneQMic.txt
8,27.893,72.107,364.0,1344,Daniel Enstrøm.txt
9,54.176,45.824,707.0,1036,Daniel tyst dator.txt
10,36.322,63.678,474.0,1218,David noisy dator.txt
11,42.912,57.088,560.0,1237,David quiet dator.txt
12,19.77,80.23,258.0,1301,Emelie Noisy dator.txt
13,29.042,70.958,379.0,1261,Frasen noisy dator.txt
14,29.425,70.575,384.0,1272,Gustav noisy dator.txt
15,32.72,67.28,427.0,1405,Helena noisy dator.txt
16,27.433,72.56700000000001,358.0,1305,Isabelle noisy dator.txt
17,23.831,76.169,311.0,1248,isabelle quiet dator.txt
18,23.678,76.322,309.0,1273,Marcus noisy datory.txt
19,40.383,59.617,527.0,1278,MattiasQJabra.txt
20,38.851,61.149,507.0,1302,MattiasQMic.txt
21,35.709,64.291,466.0,1132,Mia noisy dator.txt
22,27.816,72.184,363.0,1254,NicolasQMic.txt
23,40.077,59.923,523.0,1214,Niklas noisy dator.txt
24,32.72,67.28,427.0,1191,Philip noisy dator.txt
25,52.107,47.893,680.0,980,PhilipQJabra.txt
26,38.621,61.379,504.0,1173,PhilipQMic.txt
27,24.981,75.019,326.0,1250,Stefan noisy dator.txt
28,23.985,76.015,313.0,1247,StefanQMic.txt
29,30.038,69.962,392.0,1241,Søren noisy dator.txt
30,30.268,69.732,395.0,1240,søren quiet.txt
