,WER,ACCURACY,ERRORS,#words,FILENAME
0,32.04,67.96000000000001,413.0,1342,19 Oct 2018 at 160521.txt
1,37.704,62.296,486.0,1330,Andreas kiar DK noisy dator.txt
2,32.273,67.727,416.0,1329,AndreasQMic.txt
3,26.144,73.856,337.0,1315,AshtiQJabra.txt
4,23.972,76.02799999999999,309.0,1354,AshtiQMic.txt
5,22.343,77.657,288.0,1348,BrianQJabra.txt
6,25.058,74.94200000000001,323.0,1384,BrianQMic.txt
7,29.713,70.287,383.0,1300,ClausNJabra.txt
8,26.61,73.39,343.0,1329,ClausNMic.txt
9,26.299,73.701,339.0,1359,ClausQJabra.txt
10,24.05,75.95,310.0,1365,ClausQMic.txt
11,20.714,79.286,267.0,1354,EsbenQMic.txt
12,22.576,77.424,291.0,1336,EspenQJabra.txt
13,29.015,70.985,374.0,1355,FrankSilentMic.txt
14,35.609,64.39099999999999,459.0,1318,HenrikNoiseMic.txt
15,30.334,69.666,391.0,1321,HenrikQJabra.txt
16,29.247,70.753,377.0,1330,HenrikQMic.txt
17,29.403,70.59700000000001,379.0,1384,JesperNoiseMic.txt
18,29.946,70.054,386.0,1425,JesperQJabra.txt
19,29.635,70.365,382.0,1451,JesperQMic.txt
20,58.107,41.893,749.0,1052,LindaNJabra.txt
21,26.377,73.623,340.0,1361,LindaNMic.txt
22,32.04,67.96000000000001,413.0,1278,LindaQJabra.txt
23,25.136,74.864,324.0,1345,LindaQMic.txt
24,29.791,70.209,384.0,1304,MortenNoiseMic.txt
25,31.808,68.19200000000001,410.0,1288,MortenQJabra.txt
26,29.791,70.209,384.0,1330,MortenQMic.txt
27,32.118,67.882,414.0,1327,My recording 33.txt
28,26.299,73.701,339.0,1366,My recording 57.txt
29,27.463,72.537,354.0,1309,My recording 59.txt
30,29.403,70.59700000000001,379.0,1335,My recording 60.txt
31,26.222,73.77799999999999,338.0,1348,My recording 61.txt
32,28.472,71.52799999999999,367.0,1452,My recording 63.txt
33,31.109,68.89099999999999,401.0,1320,My recording 65.txt
34,33.902,66.098,437.0,1341,My recording 67.txt
35,27.463,72.537,354.0,1340,My recording 68.txt
36,31.265,68.735,403.0,1419,My recording 70.txt
37,23.894,76.106,308.0,1354,My recording 72.txt
38,23.119,76.881,298.0,1371,My recording 75.txt
39,20.016,79.98400000000001,258.0,1359,My recording 77.txt
40,30.411,69.589,392.0,1363,PelleNoiseMic.txt
41,34.368,65.632,443.0,1368,PelleQJabra.txt
42,30.954,69.04599999999999,399.0,1412,PelleQMic.txt
43,29.791,70.209,384.0,1371,RikkeNoiseMic.txt
44,42.048,57.952,542.0,1212,RikkeQJabra.txt
45,41.583,58.417,536.0,1358,RikkeQMic.txt
