,WER,ACCURACY,ERRORS,#words,FILENAME
0,36.928,63.072,476.0,1309,19 Oct 2018 at 160521.txt
1,46.47,53.53,599.0,1224,Andreas kiar DK noisy dator.txt
2,45.229,54.771,583.0,1253,AndreasQMic.txt
3,33.204,66.79599999999999,428.0,1236,AshtiQJabra.txt
4,28.239,71.761,364.0,1298,AshtiQMic.txt
5,28.006,71.994,361.0,1310,BrianQJabra.txt
6,27.773,72.227,358.0,1316,BrianQMic.txt
7,39.566,60.434,510.0,1255,ClausNJabra.txt
8,35.376,64.624,456.0,1286,ClausNMic.txt
9,37.238,62.762,480.0,1260,ClausQJabra.txt
10,34.833,65.167,449.0,1316,ClausQMic.txt
11,23.894,76.106,308.0,1291,EsbenQMic.txt
12,25.912,74.088,334.0,1291,EspenQJabra.txt
13,36.618,63.382,472.0,1302,FrankSilentMic.txt
14,49.185,50.815,634.0,1233,HenrikNoiseMic.txt
15,45.927,54.073,592.0,1221,HenrikQJabra.txt
16,44.841,55.159,578.0,1255,HenrikQMic.txt
17,35.997,64.003,464.0,1291,JesperNoiseMic.txt
18,31.808,68.19200000000001,410.0,1335,JesperQJabra.txt
19,29.325,70.675,378.0,1363,JesperQMic.txt
20,62.684,37.316,808.0,835,LindaNJabra.txt
21,30.334,69.666,391.0,1295,LindaNMic.txt
22,45.694,54.306,589.0,1127,LindaQJabra.txt
23,36.773,63.227,474.0,1243,LindaQMic.txt
24,41.971,58.029,541.0,1179,MortenNoiseMic.txt
25,47.556,52.444,613.0,1104,MortenQJabra.txt
26,42.126,57.874,543.0,1179,MortenQMic.txt
27,49.728,50.272,641.0,1178,My recording 33.txt
28,36.462,63.538,470.0,1280,My recording 57.txt
29,37.626,62.374,485.0,1237,My recording 59.txt
30,32.428,67.572,418.0,1270,My recording 60.txt
31,38.79,61.21,500.0,1194,My recording 61.txt
32,29.791,70.209,384.0,1347,My recording 63.txt
33,45.306,54.694,584.0,1120,My recording 65.txt
34,41.427,58.573,534.0,1205,My recording 67.txt
35,45.462,54.538,586.0,1239,My recording 68.txt
36,37.238,62.762,480.0,1297,My recording 70.txt
37,29.791,70.209,384.0,1284,My recording 72.txt
38,25.912,74.088,334.0,1318,My recording 75.txt
39,23.817,76.18299999999999,307.0,1281,My recording 77.txt
40,40.652,59.348,524.0,1267,PelleNoiseMic.txt
41,41.35,58.65,533.0,1274,PelleQJabra.txt
42,37.859,62.141,488.0,1312,PelleQMic.txt
43,33.825,66.175,436.0,1271,RikkeNoiseMic.txt
44,46.858,53.142,604.0,1110,RikkeQJabra.txt
45,37.859,62.141,488.0,1241,RikkeQMic.txt
