,WER,ACCURACY,ERRORS,#words,FILENAME
0,31.73,68.27,409.0,1335,19 Oct 2018 at 16.05.21.txt
1,37.316,62.684,481.0,1321,Andreas kiar DK noisy dator.txt
2,32.04,67.96000000000001,413.0,1320,AndreasQMic.txt
3,25.834,74.166,333.0,1308,AshtiQJabra.txt
4,23.817,76.18299999999999,307.0,1347,AshtiQMic.txt
5,21.8,78.2,281.0,1340,BrianQJabra.txt
6,24.36,75.64,314.0,1374,BrianQMic.txt
7,29.403,70.59700000000001,379.0,1296,ClausNJabra.txt
8,26.687,73.313,344.0,1324,ClausNMic.txt
9,25.989,74.011,335.0,1351,ClausQJabra.txt
10,24.05,75.95,310.0,1359,ClausQMic.txt
11,20.326,79.674,262.0,1349,EsbenQMic.txt
12,22.265,77.735,287.0,1331,EspenQJabra.txt
13,28.472,71.52799999999999,367.0,1345,FrankSilentMic.txt
14,35.066,64.934,452.0,1309,HenrikNoiseMic.txt
15,29.868,70.132,385.0,1314,HenrikQJabra.txt
16,28.86,71.14,372.0,1324,HenrikQMic.txt
17,28.937,71.063,373.0,1374,JesperNoiseMic.txt
18,29.325,70.675,378.0,1415,JesperQJabra.txt
19,29.247,70.753,377.0,1444,JesperQMic.txt
20,58.029,41.971,748.0,1048,LindaNJabra.txt
21,25.679,74.321,331.0,1352,LindaNMic.txt
22,31.575,68.425,407.0,1269,LindaQJabra.txt
23,24.515,75.485,316.0,1335,LindaQMic.txt
24,29.48,70.52,380.0,1299,MortenNoiseMic.txt
25,31.42,68.58,405.0,1283,MortenQJabra.txt
26,29.325,70.675,378.0,1324,MortenQMic.txt
27,32.04,67.96000000000001,413.0,1320,My recording 33.txt
28,25.912,74.088,334.0,1356,My recording 57.txt
29,26.998,73.002,348.0,1301,My recording 59.txt
30,28.86,71.14,372.0,1328,My recording 60.txt
31,25.756,74.244,332.0,1340,My recording 61.txt
32,28.006,71.994,361.0,1444,My recording 63.txt
33,30.566,69.434,394.0,1312,My recording 65.txt
34,33.67,66.33,434.0,1335,My recording 67.txt
35,26.998,73.002,348.0,1334,My recording 68.txt
36,31.265,68.735,403.0,1412,My recording 70.txt
37,23.739,76.261,306.0,1347,My recording 72.txt
38,22.808,77.19200000000001,294.0,1367,My recording 75.txt
39,19.24,80.76,248.0,1349,My recording 77.txt
40,30.334,69.666,391.0,1357,PelleNoiseMic.txt
41,34.213,65.787,441.0,1361,PelleQJabra.txt
42,30.799,69.201,397.0,1402,PelleQMic.txt
43,29.48,70.52,380.0,1365,RikkeNoiseMic.txt
44,41.971,58.029,541.0,1208,RikkeQJabra.txt
45,41.505,58.495,535.0,1354,RikkeQMic.txt
